,SourceID,Order,EffectType,Value,TargetScope,ApplyTiming,TriggerCondition,TriggerValue,TriggerUsageType,SelectionGroup,SelectionMode
01,1001,0,Shield,4,AllAllies,OnBattleStart,None,0,OneShot,None,All
02,1002,0,Buff_DefenseUp,1,AllAllies,OnBattleStart,None,0,OneShot,None,All
03,1003,0,Buff_AttackUp,2,AllAllies,OnBattleStart,None,0,OneShot,None,All
04,1004,0,Debuff_Vulnerable,1,AllEnemies,OnBattleStart,None,0,OneShot,None,All
05,1005,0,Damage,2,AllEnemies,DuringBattle,TurnCountReached,1,Repeat,None,All
06,1006,0,Buff_AttackUp,1,AllAllies,OnBattleStart,None,0,OneShot,None,All
07,1007,0,Debuff_Weak,1,AllEnemies,OnBattleStart,None,0,OneShot,None,All
08,1008,0,Debuff_Bleed,2,AllEnemies,DuringBattle,TurnCountReached,1,Repeat,None,All
09,1009,0,Buff_AttackUp,2,AllAllies,OnBattleStart,None,0,OneShot,None,All
10,1010,0,Buff_AttackUp,1,AllAllies,OnBattleStart,None,0,OneShot,None,All
11,1011,0,MaxHPUp,8,Self,OnAcquire,None,0,OneShot,None,All
12,1012,0,Debuff_Weak,1,AllEnemies,OnBattleStart,None,0,OneShot,None,All
13,1013,0,Buff_AttackUp,1,AllAllies,DuringBattle,TurnCountReached,1,Repeat,None,All
14,1014,0,Shield,8,AllAllies,OnBattleStart,None,0,OneShot,None,All
15,1015,0,Buff_Regen,1,AllAllies,DuringBattle,TurnCountReached,1,Repeat,None,All
16,1016,0,Shield,3,AllAllies,DuringBattle,TurnCountReached,1,Repeat,None,All
17,1017,0,Debuff_Weak,1,SingleEnemy,DuringBattle,TurnCountReached,1,Repeat,HandStoneRandomDebuff,RandomOne
18,1017,1,Debuff_Vulnerable,1,SingleEnemy,DuringBattle,TurnCountReached,1,Repeat,HandStoneRandomDebuff,RandomOne
